,artist,song,link,text
3512,Counting Crows,She Talks To Angels,/c/counting+crows/she+talks+to+angels_20815116.html,"She never mentions the word addiction   In certain company   Yes, she'll tell you she's an orphan   After you meet her family      She paints her eyes as black as night, now   Pulls those shades down tight   Yeah, she gives a smile when the pain comes   The pain's gonna make everything alright      Says she talks to angels   They call her out by her name   She talks to angels   Says they call her out by her name      She keeps a lock of hair in her pocket   She wears a cross around her neck   Yes, the hair is from a little boy   And the cross is someone she has not met, not yet      Says she talks to angels   Says they all know her name   Oh yeah, she talks to angels   Says they call her out by her name      She don't know no lover   None that I ever seen   Yes, to her that ain't nothing   But to me, yeah me, it's everything      She paints her eyes as black as night, now   She pulls those shades down tight   Oh yeah, there's a smile when the pain comes   The pain's gonna make everything alright, alright yeah      She talks to angels   Says they call her out by her name   Oh yeah, yeah, angels   Call her out by her name   Oh, angels, they call her out by her name      Oh, she talks to angels   They call her out   Yeah, they call her out   Don't you know that they call her out by her name  "
6216,Fleetwood Mac,Sisters Of The Moon,/f/fleetwood+mac/sisters+of+the+moon_20054471.html,"Intense silence   As she walked in the room   Her black robes trailing   Sister of the moon      And a black widow spider makes   More sound than she   And black moons in those eyes of hers   Made more sense to me   Heavy persuasion      It was hard to breathe   She was dark at the top of the stairs   And she called to me   And so I followed      As friends often do   I cared not for love, nor money   I think she knew   The people, they love her   And still they are the most cruel      She asked me   Be my sister, sister of the moon   Some call her sister of the moon   Some say illusions are her game   Wrap her in velvet      Does anyone, ah, know her name   So we make our choices   When there is no choice   And we listen to their voices   Ignoring our own voice  "
6432,Frankie Valli,"Oh, What A Night",/f/frankie+valli/oh+what+a+night_20632570.html,"Oh, what a night.   Late December back in '63.   What a very special time for me,   'Cause I remember what a night.      Oh, what a night.   You know, I didn't even know her name,   But I was never gonna be the same.   What a lady. What a night.      Oh, I. I got a funny feeling when she walked   In the room and I,   As I recall it ended much too soon.      Oh, what a night,   Hypnotizing, mesmerizing me.   She was everything I dreamed she'd be.   Sweet surrender, what a night!      I felt a rush like a rolling bolt of thunder   Spinnin' my head around and taking my body under.   Oh, what a night!      Oh, I. I got a funny feeling when she walked   In the room and I,   As I recall it ended much too soon.      Oh, what a night.   Why'd it take so long to see the light?   Seemed so wrong, but now it seems so right.   What a lady, what a night!      I felt a rush like a rolling bolt of thunder   Spinnin' my head around and taking my body under.   Oh, what a night!   (Do, do, do, do, do. Do, do, do, do, do, do.)   Oh, what a night!   (Do, do, do, do, do. Do, do, do, do, do, do.)   Oh, what a night!   (Do, do, do, do, do. Do, do, do, do, do, do.)   Oh, what a night!   (Do, do, do, do, do. Do, do, do, do, do, do.)   Oh, what a night!   (Do, do, do, do, do. Do, do, do, do, do, do.)   Oh, what a night!   (Do, do, do, do, do. Do, do, do, do, do, do.)  "
8076,Ian Hunter,Easy Money,/i/ian+hunter/easy+money_20066577.html,"Once upon a time   She was the virgin of a million lonely minds   And now it's such a crying shame   She does not even know her name   No-one ever knew   All the heavy changes she's been going through   All the sons and lovers on her mind   Cause easy money's hard to find      I've been searching   All night long   You know, she's been searching all night long      [Chorus]   Easy money   She gets down on her knees   She's begging you please   Cause she needs   Easy money   She's out on a run   She needs someone can she please      Nightmare rides   A shadow limps across the great sunrise   And steals the hope that lies behind her eyes   In a sense it's hard to find      I've been searching   All Night long   You know, she's been searching all night long      [Chorus]      Easy money      Easy money   She ain't no fool   She's breaking her rule   And she knows   Easy money   She's out on a run   She's looking for someone who shows   Easy money   She's out on her own   She's looking for someone to plead   Easy money  "
9068,James Taylor,Going Around One More Time,/j/james+taylor/going+around+one+more+time_20069297.html,"My heart had been broken and I couldn't take no more.   I shuttered up my windows and I bolted tight my door.   Then I took one look at you and I nearly lost my mind.      Now I'm going 'round going 'round, going 'round going around one more time.   Yes I'm going 'round going 'round, going 'round going around one more time.      Betty was a little heartbreaker, it didn't quite work out.   She did a number on my confidence, I was riddled with self doubt.   I said that's it, I'm through, I quit, then Juanita, she looked so fine.      Now I'm going 'round going 'round, going 'round going around one more time.   Yes I'm going 'round going 'round, going 'round going around one more time.      'Round and 'round in a circle, it's always the same.   One moment you swear you've had enough, the next you've got to know her name.   All on my own, it wasn't that bad, I was getting by as I could get.   I stopped into a drug store for one pack of cigarettes.   She didn't have a quarter, had to call her cousin Kate   and could I lend her maybe one thin dime?      Now I'm going 'round going 'round, going 'round going around one more time.   Yes I'm going 'round going 'round, going 'round going around one more time.  "
11418,Leo Sayer,Love Games,/l/leo+sayer/love+games_20718536.html,"When it started out so easily   She was lonely I was free   I couldn't pass another lonely night on my own   She just poured her life into a drink      Looked at me said what do you think   I said you need a little loving baby   So I picked her up   She gave me all the loving that I would ever need      Oh she picked me up   I didn't know her name   I'm playing love games   Keep on playing love games      Win or lose   I get a broken heart   Just playing love games   Ain't no doubt in my mind      These love games   Are tearing me apart   Oh, this game of love is burning me   No way out that I can see      It's like a fire I can't control, I can't control   Oh, they pick me up   Give me all the loving   I've ever need      Yeah, I love and run   I never know their names   Just playing love games   I keep on playing love games      Win or lose   I get a broken heart   Playing love games   Ain't no doubt in my mind      That these love games   Are tearing me apart   Now my love is like a fire   Burning me up      And the flames   Are getting higher   Up to my heart   I'm playing love games      Keep on playing love games   Win or lose   I get a broken heart   Just playing love games      Ain't no doubt in my mind   That these love games   Are tearing me apart   I keep on playing love games      Keep on playing love games   Whether I win   Or whether I lose   I end up with a broken heart      Keep playin' love games   Ain't no doubt about it   Oh these love games   Are tearing me apart  "
14044,Nickelback,Gotta Get Me Some,/n/nickelback/gotta+get+me+some_20984734.html,"I went out on the town with a friend last weekend.   His ex girlfriend's friend was there alone.   She bought a couple rounds and I got the feeling, she could really handle alcohol.      Another one down and headed off the deep end.   The more we drank, the less that we had on.      And it turns out she's got everything I want, but all rolled into one.   She smokes a little home grown, drinks a little Cuervo.   Still a little down home, there was never a doubt.   She's got a fast car, hotter than a dance bar.   Looking like a rock star, she'll be the talk of the town.   You know, she's got everything I want, but all rolled into one.   Gotta get me some.      God all mighty look at that body.   Looks just like a sticker on a new Ferrari.   She's a scene from a Baywatch rerun.   Hotter then a barrel on a squeeze machine gun.      Well, she can get it lower then a Maserati.   Never seen somebody move that way.   Everywhere she goes there's an instant party.   Everybody wants to know her name.      And it turns out she's got everything I want, but all rolled into one.   She smokes a little home grown, drinks a little Cuervo.   Still a little down home, there was never a doubt.   She's got a fast car, hotter then a dance bar.   Looking like a rock star, and she likes to go out and      She likes to get her hands up.   Anything to stand on.   Anything to dance on.   She'd be swinging around.   Under the hot lights, underneath the spot light.   Keep it going all night.   She'll be the talk of the town.      You know, she's got everything I want, but all rolled into one.   Gotta get me some.      God all mighty look at that body.   Looks just like a sticker on a new Ferrari.   She's a scene from a bay watch rerun.   Hotter then a barrel on a squeeze machine gun.      And it turns out she's got everything I want, but all rolled into one.   She smokes a little home grown, drinks a little Cuervo.   Still a little down home, there was never a doubt.   She's got a fast car, hotter then a dance bar.   Looking like a rock star, and she likes to go out and      Get her hands up.   Anything to stand on.   Anything to dance on.   She'd be swinging around.   Under the hot lights, underneath the spot light.   Keep it going all night.   She'll be the talk of the town.      You know, she's got everything I want, but all rolled into one.   Gotta get me some.      I gotta get me some.   Gotta get me some.  "
14291,Nitty Gritty Dirt Band,Lovin On The Side,/n/nitty+gritty+dirt+band/lovin+on+the+side_20101263.html,"Well, I just want to clear the air,   I already know, and darlin' I still care,   But we're crippled every time I close my eyes.   I know it's hard when you're all alone,   And you always come back home   Looks like we're hurtin from your lovin' on the side      I think I've prob'ly seen her, believe I know her name,   Darlin' does it make you satisfied?   She's the one who's feeling happy, I'm the one who wants to die   I think you've gone just a little too far this time.      So I just want to clear the air   I already know, and darlin' I still care,   But we're hurtin' from your lovin' on the side      I'm not saying that I approve, or that I can stand it,   But I know I've got to give us one more try.   I keep prayin' you still love me, but soon my prayer will die,   If every time we talk, you hide your eyes.      So I just want to clear the air   I already know, and darlin' I still care   But we're crippled every time you close your eyes   I know it's hare when you're all alone,   And if you really want to come back home,   Stop this hurtin', stop your lovin' on the side   Stop this hurtin', stop your lovin' on the side.  "
15960,Phil Collins,Invisible Touch,/p/phil+collins/invisible+touch_20286420.html,"Well I've been waiting, waiting here so long   But thinking nothing, nothing could go wrong, ooh now I know   She has a built in ability   To take everything she sees   And now it seems I'm falling, falling for her.      [Chorus:]   She seems to have an invisible touch yeah   She reaches in, and grabs right hold of your heart   She seems to have an invisible touch yeah   It takes control and slowly tears you apart.      Well I don't really know her, I only know her name   But she crawls under your skin, you're never quite the same, and now I know   She's got something you just can't trust   It's something mysterious   And now it seems I'm falling, falling for her.      [Chorus:]   She seems to have an invisible touch yeah   She reaches in, and grabs right hold of your heart   She seems to have an invisible touch yeah   It takes control and slowly tears you apart.      She don't like losing, to her it's still a game   And though she will mess up your life,   You'll want her just the same, and now I know   She has a built in ability   To take everything she sees   And now it seems I've fallen, fallen for her.      [Chorus:]   She seems to have an invisible touch yeah   She reaches in, and grabs right hold of your heart   She seems to have an invisible touch yeah   It takes control and slowly tears you apart.   She seems to have an invisible touch...  "
17144,Ray Boltz,The Stones,/r/ray+boltz/the+stones_20321967.html,"We don't really know much about her   We don't really know her name   But the way she was treated   Was a shame   She heard the angry voices   There was nothing   That she could say   It wouldn't have mattered anyway   All she saw were the stones   All she saw were the stones   She felt so helpless   So all alone   How she longed   For the face of a friend   But oh   All she saw were the stones   They pulled her from her lover's arms   Out into the street   They drug her to the synagogue   And threw her at Christ's feet   This woman is an adulteress   And our law is very clear   The Master saw her looking down   Her eyes were filled with tears   'Cause all she saw were the stones   All she saw were the stones   She felt so helpless   So all alone   How she longed   For the face of a friend   But oh   All she saw were the stones   Jesus looked up from the crowd   And then He said to them   You be the first to cast a stone   If you have never sinned   One by one they walked away   They left the stones behind   I wish, I could have seen her face   When she opened up her eyes   'Cause all she saw were the stones   All she saw were the stones   Jesus said, ?I forgive you, go and sin no more?   She knew she'd never be the same   Oh no, all she saw were the stones   All she saw were the stones   Jesus said, ?I forgive you, go and sin no more?   She knew she'd never be the same   Oh no, all she saw were the stones    "
18298,Roxy Music,True To Life,/r/roxy+music/true+to+life_20118883.html,So it gets to seven   And I think of nothing   But living in darkness   And the diamond lady   Well she's not telling   I don't even know her name      It's amazing   Times have changed   In days of old   Imagination'd leave you standing   Out in the could   Dancing city   Now you're talking      But where's your soul   You've a thousand faces   I'll never know   There are complications   And compensations   If you know the game   Agitated in Xenon nightly   I'll take you home again      Travel way downtown   In search of nothing   But the sky at night   And the diamond lady   Well she's not talking   But that's alright   So I turn the pages   And tell the story   From town to town      People tell me   Be determined   Poor country boy   Too much luck   Means too much trouble   Much time alone   But arm in arm   With my seaside diamond   I'll soon be home  
19669,Tracy Chapman,Across The Lines,/t/tracy+chapman/across+the+lines_20140280.html,Across the lines   Who would dare to go   Under the bridge   Over the tracks   That separates whites from blacks      Choose sides   Or run for your life   Tonight the riots begin   On the back streets of America   They kill the dream of America      Little black girl gets assaulted   Ain't no reason why   Newspaper prints the story   And racist tempers fly   Next day it starts a riot   Knives and guns are drawn   Two black boys get killed   One white boy goes blind      Little black girl gets assaulted   Don't no one know her name   Lots of people hurt and angry   She's the one to blame  
22348,Zac Brown Band,As She's Walking Away,/z/zac+brown+band/as+shes+walking+away_20887804.html,"We never spoke a word   But every thought she had I heard from across the room      If we were standing face to face   I couldn't find the words to say   Give me one more move      I don't even know her name   I guess foolish pride's to blame      Now I'm falling in love as she's walking away   And my heart won't tell my mind to tell my mouth what it should say   May have lost this battle, live to fight another day   Now I'm falling in love   As she's walking away      Wise man next to me did say   'Bout the one that got away   Son I missed my chance      Don't you let regret take place   Of the dreams you have to chase   Ask her to dance, go on son      You might fall down on your face   Roll the dice and have some faith      And don't be falling in love as she's walking away   When your heart won't tell your mind to tell your mouth what it should say   May have lost this battle, live to fight another day   Don't be falling in love   As she's walking away      You might fall down on your face   Roll the dice and have some faith      And don't be falling in love as she's walking away   When your heart won't tell your mind to tell your mouth what it should say   May have lost this battle, live to fight another day   Don't be falling, falling, falling in love   As she's walking away  "
22865,Ace Of Base,Que Sera,/a/ace+of+base/que+sera_20003633.html,"They call to her from across the street   But they don't know her name   She's in the wrong place at the wrong time   Who's to blame      She wonders how to change   the life she's living   She wonders if she'll ever get away   As far as I can see, the writing's on the wall      There's no return, we live, we learn   The game goes on and on and   Que sera   I like you but I don't      Really want to take you home   Que sera   It's a lonely life   Living on my own      Que sera   What's it gonna be, what's it gonna be   She left her home when she was seventeen   Simply disappeared in the rain      Those were bad times so it was high time   She knows she'd do it again   She wonders how   she's gonna make a living      She wonders if she'll make it through the day   As far as I can see, I've seen it all before   A lonely girl in a big bad world   The game goes on and on and      Que sera  "
23877,America,Mirror To Mirror,/a/america/mirror+to+mirror_20007207.html,"I haven't seen forever   Don't even know her name   I call on dreams and other schemes   To try and win that game   Now that it's over, darling   Look into my eyes   Seein' your own reflection   Much to your surprise   We're seein' mirror to mirror   Face to face   We look but we cannot see   Mirror to mirror   Seems to trace   What happened to you and me   And though we tried in earnest   The distant silence yells   We call on wings and other things   To try and break that spell   Now that it's over, darling   Truth in the common cause   We stare at our own indifference   By seeing the other's flaws   We're seein' mirror to mirror   Face to face   We look but we cannot see   Mirror to mirror   Seems to trace   What happened to you and me   Oh, mirror to mirror, mirror to mirror   Mirror to mirror, what's come over me   As we look inside, there's nowhere to turn   There's nowhere to hide   Now that it's over, darling   Look into my eyes   Seein' your own reflection   Much to your surprise   We're seein' mirror to mirror   Face to face   We look but we cannot see   Mirror to mirror   Seems to trace   What happened to you and me   Oh, mirror to mirror, mirror to mirror   Mirror to mirror, what's come over me   Mirror to mirror, mirror to mirror   Mirror to mirror, what's come over me    "
24984,Bee Gees,"December '63, Oh What A Night",/b/bee+gees/december+63+oh+what+a+night_20543249.html,"Oh what a night!   Late December back in sixty-three.   What a very special time for me.   I'll remember what a night.      Oh what a night!   No I didn't even know her name,   But I'm never gonna be the same.   What a lady, what a night!      Oh I, I had a funny feeling when she walked into the room.   And I, as I recall it ended much too soon.   Oh what a night!      Hypnotized and mesmorizing me.   She was everything I dreamed she'd be.   Sweet surender, what a night!      I felt the rush at the rolling balls of thunder.   Spinning my head around and taking my body under,   Oh what a night!      Why'd it take so long to see the light.   Seemed so wrong, but now it seemed so right.   What a lady, what a night!  "
26377,Bread,Didn't Even Know Her Name,/b/bread/didnt+even+know+her+name_20024063.html,Should've kept on goin'   But the hurt was showing   When she looked at me that way   I had to stay   I knew I had to get to know her name   The town was weary   She was to marry   Someone planned years ago   Her eyes said no   I knew I had to get to know her name   And when I got her all alone   She told me through the tears   That she didn't really loved him   But he'd waited for so many years   She said she couldn't break his heart   She'd rather live with hers   And though I told her she should leave with me   She just could not believe with me   Should've kept on goin'   Better that than knowin'   That he made her his wife   He took her life   You know I didn't even know her name   You know I didn't even know her name    
28856,David Allan Coe,Loneliness In Ruby's Eyes,/d/david+allan+coe/loneliness+in+rubys+eyes_20585967.html,They say she came all the way from Dallas   But I see more than Texas in the hard times on her face   And every song she sings brings back a hundred thousand memories   Of another girl another time another place   She does not have the body of the woman I once loved   But she's still the girl that I once idolized   And I swear I see a little bit of every girl I've known   In the loneliness of Ruby's eyes in the loneliness of Ruby's eyes      Kin folks say she's had a lot of lovers   But love don't leave a woman filled with shame   And I've heard tell she had a child in Dallas   And all the men in Houston know her name   She does not have the body   In the loneliness of Ruby's eyes in the loneliness of Ruby's eyes   In the loneliness of Ruby's eyes  
30162,Donna Summer,Lady Of The Night,/d/donna+summer/lady+of+the+night_20042282.html,They call her the lady of the night   She's a woman of the world   And easy-living girl with love for sale      That's what they call her the lady of the night   No one seems to know her name   And even less about the place   From where she came      Every evening when the night is close at hand   You'll find the lady on the rue d'avignon   In a half lit hotel doorway the lady advertises warmly   It's just a job but she'll do the best she can      Don't try to change this lady of the night   She's a lot like you and me   And less than what she seems to be      (she is the lady of the night)   And easy-living girl   (she is the lady of the night)   She's a woman of the world   (she is the lady of the night)   With lots of loving for sale   (she is the lady of the night)   Lady lady of the night      Round here they call her the lady of the night   In a perfume hotel room   Shadows dance upon the wall and fate at dawn   She's no beginner this lady of the night   Never try that funny stuff   'cause lady can be tough   Be warned!      (she is the lady of the night)   She's a lot like you and me   (she is the lady of the night)   And never just what she seems   (she is the lady of the night)   No one seems to know her name   (she is the lady of the night)   Or the place from where she came  
30803,Eddie Cochran,Market Place,/e/eddie+cochran/market+place_20773853.html,"Walkin' to the market place in New Orleans   I saw the cutest little queen   A pair of eyes I couldn't miss   Lips that were beggin' to be kissed      I went flyin' out in space   When I saw that pretty face   And I found that warm embrace   At the market place, market place      I didn't even know her name and didn't care   I was glad I took a walk and saw her there   In my arms she began to dance   That was the start of a big romance      Now that we are married up and settled down   I like to sit and think of ol' New Orleans town   The Mardigras, the happy fun   Thankful for that good love I won  "
